,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,DCS Polarity,Tx Power,Scan Add,Busy Lock,PTT ID,Signal Code,Comment,
0,145250000,144650000,600000,Minus,FM,WW4AL,Tone,82.5,67.0,023,023,023,High,Scan,N,0,0,Palm Bay,
1,145370000,144770000,600000,Minus,FM,W2SDB,Tone,156.7,67.0,023,023,023,High,Scan,N,0,0,Cocoa,
2,145470000,144870000,600000,Minus,FM,K4HRS,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Melbourne,
3,145490000,144890000,600000,Minus,FM,WN3DHI,None,67.0,67.0,023,023,023,High,Scan,N,0,0,Titusville,
4,145600000,145600000,600000,Simplex,FM,KJ4VEH,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Titusville,
5,146610000,146010000,600000,Minus,FM,W4MLB,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Melbourne,
6,146625000,146025000,600000,Minus,FM,KE4NUZ,Tone,100.0,67.0,023,023,023,High,Scan,N,0,0,Mims,
7,146685000,146085000,600000,Minus,FM,K4MRG,None,67.0,67.0,023,023,023,High,Scan,N,0,0,Melbourne,
8,146745000,146145000,600000,Minus,FM,K4MRG,None,67.0,67.0,023,023,023,High,Scan,N,0,0,Melbourne,
9,146775000,146175000,600000,Minus,FM,K4KSC,Tone,100.0,67.0,023,023,023,High,Scan,N,0,0,Mims,
10,146850000,146250000,600000,Minus,FM,W4MLB,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Palm Bay,
11,146880000,146280000,600000,Minus,FM,W4NLX,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Rockledge,
12,146895000,146295000,600000,Minus,FM,K4EOC,None,67.0,67.0,023,023,023,High,Scan,N,0,0,Palm Bay,
13,146910000,146310000,600000,Minus,FM,K4KSC,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Titusville,
14,146925000,146325000,600000,Minus,FM,AD4Y,None,67.0,67.0,023,023,023,High,Scan,N,0,0,Palm Bay,
15,146940000,146340000,600000,Minus,FM,K4GCC,None,67.0,67.0,023,023,023,High,Scan,N,0,0,Rockledge,
16,146970000,146370000,600000,Minus,FM,K4KSC,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Titusville,
17,147000000,147600000,600000,Plus,FM,K4YWC,Tone,167.9,67.0,023,023,023,High,Scan,N,0,0,Melbourne,
18,147075000,147675000,600000,Plus,FM,K4EOC,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Titusville,
19,147135000,147735000,600000,Plus,FM,K4EOC,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Rockledge,
20,147255000,147855000,600000,Plus,FM,K4DCS,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Palm Bay,
21,147330000,147930000,600000,Plus,FM,K4NBR,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Titusville,
22,147360000,147960000,600000,Plus,FM,N4TDX,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Titusville,
23,147480000,147480000,0,Simplex,FM,KI4SWB,Tone,107.2,67.0,023,023,023,High,Scan,N,0,0,Melbourne,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,
