,Receive Frequency,Transmit Frequency,Operating Mode,Data Mode,Split Operating Mode,Split Data Mode,Name,Tone Mode,CTCSS,Rx CTCSS,Filter,Split Filter,Select Scan,Comment,
1,26965000,26965000,AM,N,AM,N,CB01,None,67.0,67.0,N,N,N,open to all,
2,26975000,26975000,AM,N,AM,N,CB02,None,67.0,67.0,N,N,N,open to all,
3,26985000,26985000,AM,N,AM,N,CB03,None,67.0,67.0,N,N,N,open to all,
4,27005000,27005000,AM,N,AM,N,CB04,None,67.0,67.0,N,N,N,open to all--4x4 channel,
5,27015000,27015000,AM,N,AM,N,CB05,None,67.0,67.0,N,N,N,open to all,
6,27025000,27025000,AM,N,AM,N,CB06,None,67.0,67.0,N,N,N,open to all--Super Bowl,
7,27035000,27035000,AM,N,AM,N,CB07,None,67.0,67.0,N,N,N,open to all,
8,27055000,27055000,AM,N,AM,N,CB08,None,67.0,67.0,N,N,N,open to all,
9,27065000,27065000,AM,N,AM,N,CB09,None,67.0,67.0,N,N,N,Emergency,
10,27075000,27075000,AM,N,AM,N,CB10,None,67.0,67.0,N,N,N,open to all--regional roads,
11,27085000,27085000,AM,N,AM,N,CB11,None,67.0,67.0,N,N,N,open to all--Super Bowl 2,
12,27105000,27105000,AM,N,AM,N,CB12,None,67.0,67.0,N,N,N,open to all,
13,27115000,27115000,AM,N,AM,N,CB13,None,67.0,67.0,N,N,N,open to all,
14,27125000,27125000,AM,N,AM,N,CB14,None,67.0,67.0,N,N,N,open to all--walkie talkies,
15,27135000,27135000,AM,N,AM,N,CB15,None,67.0,67.0,N,N,N,open to all,
16,27155000,27155000,AM,N,AM,N,CB16,None,67.0,67.0,N,N,N,open to all (also SSB),
17,27165000,27165000,AM,N,AM,N,CB17,None,67.0,67.0,N,N,N,open to all--North/South Traffic,
18,27175000,27175000,AM,N,AM,N,CB18,None,67.0,67.0,N,N,N,open to all,
19,27185000,27185000,AM,N,AM,N,CB19,None,67.0,67.0,N,N,N,Truckers--East/West Hwy Traffic,
20,27205000,27205000,AM,N,AM,N,CB20,None,67.0,67.0,N,N,N,open to all,
21,27215000,27215000,AM,N,AM,N,CB21,None,67.0,67.0,N,N,N,open to all--regional roads,
22,27225000,27225000,AM,N,AM,N,CB22,None,67.0,67.0,N,N,N,open to all,
23,27255000,27255000,AM,N,AM,N,CB23,None,67.0,67.0,N,N,N,open to all,
24,27235000,27235000,AM,N,AM,N,CB24,None,67.0,67.0,N,N,N,open to all,
25,27245000,27245000,AM,N,AM,N,CB25,None,67.0,67.0,N,N,N,open to all,
26,27265000,27265000,AM,N,AM,N,CB26,None,67.0,67.0,N,N,N,open to all,
27,27275000,27275000,AM,N,AM,N,CB27,None,67.0,67.0,N,N,N,open to all,
28,27285000,27285000,AM,N,AM,N,CB28,None,67.0,67.0,N,N,N,open to all,
29,27295000,27295000,AM,N,AM,N,CB29,None,67.0,67.0,N,N,N,open to all,
30,27305000,27305000,AM,N,AM,N,CB30,None,67.0,67.0,N,N,N,open to all,
31,27315000,27315000,AM,N,AM,N,CB31,None,67.0,67.0,N,N,N,open to all,
32,27325000,27325000,AM,N,AM,N,CB32,None,67.0,67.0,N,N,N,open to all,
33,27335000,27335000,AM,N,AM,N,CB33,None,67.0,67.0,N,N,N,open to all,
34,27345000,27345000,AM,N,AM,N,CB34,None,67.0,67.0,N,N,N,open to all,
35,27355000,27355000,AM,N,AM,N,CB35,None,67.0,67.0,N,N,N,open to all,
36,27365000,27365000,AM,N,AM,N,CB36,None,67.0,67.0,N,N,N,open to all (also SSB),
37,27375000,27375000,AM,N,AM,N,CB37,None,67.0,67.0,N,N,N,open to all (also SSB),
38,27385000,27385000,AM,N,AM,N,CB38,None,67.0,67.0,N,N,N,"open to all (also SSB, LSB)",
39,27395000,27395000,AM,N,AM,N,CB39,None,67.0,67.0,N,N,N,open to all (also SSB),
40,27405000,27405000,AM,N,AM,N,CB40,None,67.0,67.0,N,N,N,open to all (also SSB),
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
