,Receive Frequency,Transmit Frequency,Operating Mode,Data Mode,Split Operating Mode,Split Data Mode,Name,Tone Mode,CTCSS,Rx CTCSS,Filter,Split Filter,Select Scan,Comment,
1,1810000,1810000,CW,N,CW,N,CALING,None,67.0,67.0,N,N,N,Calling CW QRP,
2,1910000,1910000,LSB,N,LSB,N,CALING,None,67.0,67.0,N,N,N,Calling SSB QRP,
3,3560000,3560000,CW,N,CW,N,CALING,None,67.0,67.0,N,N,N,Calling CW QRP,
4,3985000,3985000,LSB,N,LSB,N,CALING,None,67.0,67.0,N,N,N,Calling SSB QRP,
5,7030000,7030000,CW,N,CW,N,CALING,None,67.0,67.0,N,N,N,Calling CW QRP,
6,7285000,7285000,LSB,N,LSB,N,CALING,None,67.0,67.0,N,N,N,Calling SSB QRP,
7,7290000,7290000,AM,N,AM,N,CALING,None,67.0,67.0,N,N,N,Calling AM,
8,14060000,14060000,CW,N,CW,N,CALING,None,67.0,67.0,N,N,N,Calling CW QRP,
9,14285000,14285000,USB,N,USB,N,CALING,None,67.0,67.0,N,N,N,Calling SSB QRP,
10,14286000,14286000,AM,N,AM,N,CALING,None,67.0,67.0,N,N,N,Calling AM,
11,21060000,21060000,CW,N,CW,N,CALING,None,67.0,67.0,N,N,N,Calling CW QRP,
12,21385000,21385000,USB,N,USB,N,CALING,None,67.0,67.0,N,N,N,Calling SSB QRP,
13,28060000,28060000,CW,N,CW,N,CALING,None,67.0,67.0,N,N,N,Calling CW QRP,
14,28385000,28385000,USB,N,USB,N,CALING,None,67.0,67.0,N,N,N,Calling SSB QRP,
15,26965000,26965000,AM,N,AM,N,CB01,None,67.0,67.0,N,N,N,open to all,
16,26975000,26975000,AM,N,AM,N,CB02,None,67.0,67.0,N,N,N,open to all,
17,26985000,26985000,AM,N,AM,N,CB03,None,67.0,67.0,N,N,N,open to all,
18,27005000,27005000,AM,N,AM,N,CB04,None,67.0,67.0,N,N,N,open to all--4x4 channel,
19,27015000,27015000,AM,N,AM,N,CB05,None,67.0,67.0,N,N,N,open to all,
20,27025000,27025000,AM,N,AM,N,CB06,None,67.0,67.0,N,N,N,open to all--Super Bowl,
